 word                frequency
 awaking             4
 award               1
 awards              3
 away                915
 awe                 20
 aweary              5
 aweless             2
 awful               8
 awhile              102
 awkward             4
 awl                 1
 awry                7
 axe                 25
 axle                1
 axletree            1
 ay                  788
 aye                 17
 ayez                1
 ayre                2
 ayry                1
 azur                2
 azure               2
 b                   13
 ba                  2
 baa                 1
 babble              3
 babbled             1
 babbling            6
 babe                47
 babes               25
 babies              3
 baboon              5
 baboons             1
 baby                18
 babylon             2
 bacchanals          2
 bacchus             2
 bach                1
 bachelor            18
 bachelors           3
 bachelour           1
 back                374
 backare             1
 backbite            1
 backbitten          1
 backed              1
 backeward           1
 background          1
 backing             3
 backs               22
 backside            1
 backt               1
 backward            22
 backwardly          1
 backwards           2
 bacon               4
 bacons              1
 bad                 135
 bade                49
 badg                1
 badge               15
 badges              4
 badly               1
 badness             4
 baes                2
 baffl               1
 baffle              2
 baffled             2
 bag                 14
 baggage             9
 bagot               19
 bagpipe             4
 bagpiper            1
 bags                12
 bail                17
 bailiff             1
 baillez             1
 baily               1
 bairn               2
 baisant             1
 baiser              1
 baisées            1
 bait                19
 baited              7
 baiting             4
 baitings            1
 baits               4
 bajazet             1
 bak                 7
 bake                2
 baked               1
 baker               1
 bakers              1
 bakes               1
 baking              1
 balanc              1
 balance             11
 balcony             1
 bald                19
 baldrick            1
 bale                1
 baleful             7
 balk                3
 balked              1
 ball                7
 ballad              18
 ballads             5
 ballast             1
 ballasting          1
 ballet              1
 ballow              1
 balls               15
 balm                19
 balmes              2
 balms               1
 balmy               3
 balsam              1
 balsamum            1
 balthasar           47
 balthazar           5
 ban                 9
 banbury             1
 bancke              1
 banckes             2
 band                33
 bandied             1
 banding             1
 bandit              12
 banditti            5
 banditto            1
 bands               15
 bandy               7
 bandying            2
 bane                7
 bang                2
 banged              1
 bangor              1
 banish              126
 banishd             3
 banished            43
 banishers           1
 banishment          41
 banishments         2
 banister            1
 bank                17
 banket              3
 bankrout            2
 bankrupt            14
 bankrupts           1
 banks               18
 banner              5
 bannerets           1
 banners             9
 banning             2
 banns               3
 banquet             33
 banqueted           1
 banqueting          3
 banquets            2
 banquo              76
 bans                4
 baptis              1
 baptism             3
 baptista            125
 bar                 38
 barabbas            1
 barbarian           2
 barbarians          1
 barbarism           4
 barbarous           21
 barbary             12
 barbason            2
 barbed              2
 barber              11
 barbery             1
 bard                1
 bardolph            212
 bards               1
 bare                69
 barefac             2
 barefoot            6
 bareheaded          5
 barely              4
 bareness            4
 barful              1
 bargain             21
 bargaine            1
 bargained           1
 bargains            4
 barge               12
 bargulus            1
 baring              1
 bark                53
 barke               1
 barketh             1
 barking             2
 barkloughly         1
 barks               6
 barky               1
 barley              2
 barly               1
 barm                1
 barn                2
 barnacles           1
 barnardine          26
 barnardo            30
 barnes              3
 barnet              3
 barns               3
 baron               3
 barons              6
 barony              1
 barr                14
 barrel              1
 barrels             1
 barren              45
 barrenly            1
 barrenness          1
 barricado           2
 barricadoes         1
 barrow              1
 bars                15
 barson              1
 barter              1
 barthol             1
 bartholomew         2
 bas                 1
 basan               1
 base                178
 based               5
 baseless            1
 basely              13
 baseness            17
 baser               14
 bases               3
 basest              14
 bashful             8
 bashfulness         1
 basilisco           1
